Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Source
2020-01-01,AAPL,Apple Inc.,Technology,75.24,75.55,74.54,75.0,34192263,Kaggle_TechStocks_Dataset
2020-01-02,AAPL,Apple Inc.,Technology,75.48,75.8,74.31,75.69,28723296,Kaggle_TechStocks_Dataset
2020-01-03,AAPL,Apple Inc.,Technology,75.31,75.63,74.62,75.52,46528091,Kaggle_TechStocks_Dataset
2020-01-06,AAPL,Apple Inc.,Technology,76.45,77.7,74.93,76.42,19978803,Kaggle_TechStocks_Dataset
2020-01-07,AAPL,Apple Inc.,Technology,78.61,79.03,77.69,78.54,4242094,Kaggle_TechStocks_Dataset
2020-01-08,AAPL,Apple Inc.,Technology,78.29,79.08,77.65,78.23,1938618,Kaggle_TechStocks_Dataset
2020-01-09,AAPL,Apple Inc.,Technology,77.6,78.44,76.54,77.92,41516069,Kaggle_TechStocks_Dataset
2020-01-10,AAPL,Apple Inc.,Technology,80.46,81.67,79.0,80.16,26712046,Kaggle_TechStocks_Dataset
2020-01-13,AAPL,Apple Inc.,Technology,81.1,81.77,80.28,81.29,38986958,Kaggle_TechStocks_Dataset
2020-01-14,AAPL,Apple Inc.,Technology,80.33,81.37,80.43,80.63,12486854,Kaggle_TechStocks_Dataset
2020-01-15,AAPL,Apple Inc.,Technology,81.76,82.87,81.35,81.44,17909103,Kaggle_TechStocks_Dataset
2020-01-16,AAPL,Apple Inc.,Technology,81.16,82.16,79.24,80.79,2475089,Kaggle_TechStocks_Dataset
2020-01-17,AAPL,Apple Inc.,Technology,80.43,80.5,79.7,80.14,48113123,Kaggle_TechStocks_Dataset
2020-01-20,AAPL,Apple Inc.,Technology,80.76,81.82,79.47,80.51,33725527,Kaggle_TechStocks_Dataset
2020-01-21,AAPL,Apple Inc.,Technology,77.88,78.51,76.78,77.76,46727049,Kaggle_TechStocks_Dataset
2020-01-22,AAPL,Apple Inc.,Technology,75.41,76.14,74.94,75.37,14009323,Kaggle_TechStocks_Dataset
2020-01-23,AAPL,Apple Inc.,Technology,74.32,74.89,74.44,74.63,30961716,Kaggle_TechStocks_Dataset
2020-01-24,AAPL,Apple Inc.,Technology,73.22,73.48,73.15,73.29,34246498,Kaggle_TechStocks_Dataset
