Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Source,Daily_Return,Cum_Return,MA_20,MA_50,Volatility_20
2020-01-01,AAPL,Apple Inc.,Technology,75.24,75.55,74.54,75.0,34192263,Kaggle_TechStocks_Dataset,,0.0,,,
2020-01-02,AAPL,Apple Inc.,Technology,75.48,75.8,74.31,75.69,28723296,Kaggle_TechStocks_Dataset,0.0092,0.0092,,,
2020-01-03,AAPL,Apple Inc.,Technology,75.31,75.63,74.62,75.52,46528091,Kaggle_TechStocks_Dataset,-0.002246,0.006933,,,
2020-01-06,AAPL,Apple Inc.,Technology,76.45,77.7,74.93,76.42,19978803,Kaggle_TechStocks_Dataset,0.011917,0.018933,,,
2020-01-07,AAPL,Apple Inc.,Technology,78.61,79.03,77.69,78.54,4242094,Kaggle_TechStocks_Dataset,0.027741,0.0472,,,
2020-01-08,AAPL,Apple Inc.,Technology,78.29,79.08,77.65,78.23,1938618,Kaggle_TechStocks_Dataset,-0.003947,0.043067,,,
2020-01-09,AAPL,Apple Inc.,Technology,77.6,78.44,76.54,77.92,41516069,Kaggle_TechStocks_Dataset,-0.003963,0.038933,,,
2020-01-10,AAPL,Apple Inc.,Technology,80.46,81.67,79.0,80.16,26712046,Kaggle_TechStocks_Dataset,0.028747,0.0688,,,
2020-01-13,AAPL,Apple Inc.,Technology,81.1,81.77,80.28,81.29,38986958,Kaggle_TechStocks_Dataset,0.014097,0.083867,,,
2020-01-14,AAPL,Apple Inc.,Technology,80.33,81.37,80.43,80.63,12486854,Kaggle_TechStocks_Dataset,-0.008119,0.075067,,,
2020-01-15,AAPL,Apple Inc.,Technology,81.76,82.87,81.35,81.44,17909103,Kaggle_TechStocks_Dataset,0.010046,0.085867,,,
2020-01-16,AAPL,Apple Inc.,Technology,81.16,82.16,79.24,80.79,2475089,Kaggle_TechStocks_Dataset,-0.007981,0.0772,,,
2020-01-17,AAPL,Apple Inc.,Technology,80.43,80.5,79.7,80.14,48113123,Kaggle_TechStocks_Dataset,-0.008046,0.068533,,,
2020-01-20,AAPL,Apple Inc.,Technology,80.76,81.82,79.47,80.51,33725527,Kaggle_TechStocks_Dataset,0.004617,0.073467,,,
2020-01-21,AAPL,Apple Inc.,Technology,77.88,78.51,76.78,77.76,46727049,Kaggle_TechStocks_Dataset,-0.034157,0.0368,,,
2020-01-22,AAPL,Apple Inc.,Technology,75.41,76.14,74.94,75.37,14009323,Kaggle_TechStocks_Dataset,-0.030736,0.004933,,,
2020-01-23,AAPL,Apple Inc.,Technology,74.32,74.89,74.44,74.63,30961716,Kaggle_TechStocks_Dataset,-0.009818,-0.004933,,,
2020-01-24,AAPL,Apple Inc.,Technology,73.22,73.48,73.15,73.29,34246498,Kaggle_TechStocks_Dataset,-0.017955,-0.0228,,,
2020-01-27,AAPL,Apple Inc.,Technology,73.64,74.82,73.06,73.73,16559935,Kaggle_TechStocks_Dataset,0.006004,-0.016933,,,
2020-01-28,AAPL,Apple Inc.,Technology,72.38,73.31,71.59,72.55,42557352,Kaggle_TechStocks_Dataset,-0.016004,-0.032667,77.48,,
2020-01-29,AAPL,Apple Inc.,Technology,70.89,71.39,70.37,70.73,47410911,Kaggle_TechStocks_Dataset,-0.025086,-0.056933,77.27,,0.017276
2020-01-30,AAPL,Apple Inc.,Technology,72.62,73.7,71.51,72.62,44357900,Kaggle_TechStocks_Dataset,0.026721,-0.031733,77.11,,0.018328
2020-01-31,AAPL,Apple Inc.,Technology,72.05,73.47,71.68,72.35,37214281,Kaggle_TechStocks_Dataset,-0.003718,-0.035333,76.96,,0.018332
2020-02-03,AAPL,Apple Inc.,Technology,72.26,72.75,71.5,72.46,14595769,Kaggle_TechStocks_Dataset,0.00152,-0.033867,76.76,,0.018063
2020-02-04,AAPL,Apple Inc.,Technology,70.75,71.51,70.09,70.62,14799186,Kaggle_TechStocks_Dataset,-0.025393,-0.0584,76.36,,0.017271
